job_id,job_label,final_score,feature,shap_value,shap_abs
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Pemodelan Proses Bisnis,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Algoritma dan Pemrograman,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Pengantar Sistem Informasi,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Sistem Enterprise,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Jaringan Komputer,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Pemrograman Berorientasi Objek,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Sistem Basis Data,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Analisis dan Perancangan Sistem Informasi,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Pengembangan Aplikasi Website,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Perancangan Interaksi,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Sistem Operasi,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Integrasi Aplikasi Enterprise,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Keamanan Sistem Informasi,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Manajemen Proyek Sistem Informasi,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Penambangan Data,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Rekayasa Proses Bisnis,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Arsitektur Enterprise,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Data Warehouse dan Business Intelligence,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Proyek Perangkat Lunak,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Sistem Informasi Akuntansi,0.0,0.0
gd_1010186853881,"Agriculture, Forestry, Wildlife Expert Contributors for AI @ Snorkel AI, Inc.",1.736,Tata Kelola dan Manajemen Teknologi Informasi,0.0,0.0
