course_code,course_name,rank,similarity,job_id,job_title,job_company,job_source
BBK2EAB3,Perancangan Interaksi,6,0.8267,li_4422657926,"User Experience Product Design, Specialist",Vanguard,linkedin
BBK2EAB3,Perancangan Interaksi,7,0.8261,li_4394705072,Experience Designer,TEK Connexion,linkedin
BBK2EAB3,Perancangan Interaksi,8,0.8255,li_4290752432,UI/UX Designer,"Steampunk, Inc.",linkedin
BBK2EAB3,Perancangan Interaksi,9,0.8248,li_4258088601,UI-UX Designer,True Helix,linkedin
BBK2EAB3,Perancangan Interaksi,10,0.823,li_4430647472,"UX/UI Designer, User Experience Team",Ayotek Teknoloji,linkedin
BBK2FAB3,Sistem Operasi,1,0.8122,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK2FAB3,Sistem Operasi,2,0.803,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK2FAB3,Sistem Operasi,3,0.8005,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK2FAB3,Sistem Operasi,4,0.7998,li_4434676109,Software Engineer,Thazen,linkedin
BBK2FAB3,Sistem Operasi,5,0.7993,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin
BBK2FAB3,Sistem Operasi,6,0.7983,li_4403509120,Software Engineer,KIHOMAC,linkedin
BBK2FAB3,Sistem Operasi,7,0.7975,li_4435216514,Back-end Software Development Engineer,FastTek Global,linkedin
BBK2FAB3,Sistem Operasi,8,0.796,li_4409724477,Business Intelligence Analyst,Liebherr USA,linkedin
BBK2FAB3,Sistem Operasi,9,0.796,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin
BBK2FAB3,Sistem Operasi,10,0.7957,li_4431117643,Software Developer,IEQ Technology,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,1,0.8043,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,2,0.8036,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,3,0.8015,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,4,0.8006,li_4385647711,"Software Engineer, Developer Experience (AI)",Clay,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,5,0.8001,li_4416579708,"Systems Software Engineer (I, II or III)",Chelan County PUD,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,6,0.7994,li_4304860885,Future Opportunities- Software Engineering,Epirus,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,7,0.7982,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,8,0.7974,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,9,0.797,li_4363726700,Software Engineer,Oso,linkedin
BBK2HAB3,Integrasi Aplikasi Enterprise,10,0.7967,li_4371060491,Software Engineer,Heidi,linkedin
BBK2IAB3,Keamanan Sistem Informasi,1,0.8138,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK2IAB3,Keamanan Sistem Informasi,2,0.8097,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
BBK2IAB3,Keamanan Sistem Informasi,3,0.8013,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK2IAB3,Keamanan Sistem Informasi,4,0.8,li_4431117643,Software Developer,IEQ Technology,linkedin
